證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
6153,嘉聯益,"1,865,321","1,074","26,139,080",14.40,14.45,13.90,14.00,0.00
6155,鈞寶,"214,779",173,"5,154,830",24.95,24.95,23.55,23.70,33.38
6164,華興,"355,659",432,"4,536,940",13.20,13.20,12.60,12.60,46.67
6165,浪凡,"923,230",604,"41,304,990",46.90,46.90,43.45,44.10,44.55
6166,凌華,"618,105",607,"45,861,815",76.00,76.00,72.80,75.10,0.00
6168,宏齊,"2,932,818","1,573","63,203,103",22.50,22.50,21.10,21.25,236.11
6176,瑞儀,"2,219,566","2,176","428,561,411",195.50,196.50,190.50,190.50,15.17
6177,達麗,"1,967,122","2,017","78,776,521",40.90,40.90,39.50,40.00,8.91
6183,關貿,"41,350",170,"3,675,134",89.20,89.50,88.30,89.40,27.42
6184,大豐電,"100,893",100,"5,199,173",51.60,51.70,51.50,51.70,14.56
6189,豐藝,"1,178,046","1,175","88,161,547",76.90,76.90,73.50,75.10,13.86
6191,精成科,"14,698,688","8,876","947,015,350",66.80,66.90,62.80,63.20,9.80
6192,巨路,"1,177,442","1,334","120,900,452",105.50,105.50,100.00,102.00,11.66
6196,帆宣,"686,380",708,"99,261,175",148.00,148.00,142.50,147.00,17.31
6197,佳必琪,"1,424,580","1,347","187,403,866",130.00,134.00,129.00,132.50,16.38
6201,亞弘電,"35,698",50,"2,010,403",57.10,57.10,56.00,56.10,12.84
6202,盛群,"4,567,173","3,460","221,832,126",52.10,52.10,48.10,48.10,0.00
6205,詮欣,"545,282",380,"37,891,698",70.80,70.90,68.40,69.80,28.15
6206,飛捷,"597,354",818,"53,697,429",90.40,90.80,88.40,90.80,15.26
6209,今國光,"1,440,385","1,028","38,025,005",27.00,27.15,25.90,26.35,0.00
6213,聯茂,"4,840,685","3,625","333,653,603",71.70,71.70,67.40,69.50,27.15
6214,精誠,"2,063,451","2,092","265,503,157",131.00,131.50,127.50,128.00,18.82
6215,和椿,"21,366,487","14,973","2,053,552,814",99.40,100.50,92.80,95.90,61.47
6216,居易,"925,676",755,"34,055,975",37.60,38.00,36.20,36.70,15.23
