,成交股數
466,1341518.0
467,878394.0
468,2000076.0
469,1137122.0
470,6623723.0
471,3972549.0
472,1002859.0
473,397449.0
474,372428.0
475,199670.0
476,429337.0
477,213313.0
478,355669.0
479,198010.0
480,54105.0
481,31426.0
482,71782.0
483,30503.0
484,19448834.0
485,6507704.0
486,4082594.0
487,2110741.0
488,831438.0
489,505031.0
490,447477.0
491,181539.0
492,2802969.0
493,1544101.0
494,2684897.0
495,709239.0
496,137779.0
497,59254.0
498,481231.0
499,275290.0
500,1072472.0
501,502902.0
502,3491110.0
503,1760220.0
504,427449.0
505,156880.0
506,74735.0
507,95004.0
508,698235.0
509,166438.0
510,2872470.0
511,571281.0
512,56437.0
513,43758.0
514,1688130.0
515,3069611.0
516,393051.0
517,442002.0
518,1014207.0
519,3403439.0
520,6477138.0
521,4566348.0
522,2139339.0
523,938417.0
524,49325493.0
525,37186189.0
526,668257.0
527,347206.0
528,9734037.0
529,10194540.0
530,21265967.0
531,39490351.0
532,14866881.0
533,5394151.0
534,3262268.0
535,1539465.0
536,755436.0
537,398936.0
538,157188534.0
539,64355673.0
540,10605.0
541,25536.0
542,6196121.0
543,3283115.0
544,17296996.0
545,13490358.0
546,2902536.0
547,1064861.0
548,5972598.0
549,2816359.0
550,3128733.0
551,1338553.0
552,62629547.0
553,31280235.0
554,1835777.0
555,819080.0
556,12484400.0
557,12681632.0
558,10646753.0
559,4813301.0
560,1709520.0
561,808310.0
562,2363263.0
563,822175.0
564,788743.0
565,185523.0
566,26912495.0
567,16707467.0
568,8128016.0
569,6584927.0
570,4895896.0
571,1771904.0
572,2162309.0
573,1126057.0
574,5149063.0
575,3788885.0
576,1767270.0
577,1056655.0
578,3801507.0
579,1736085.0
580,13309249.0
581,6768136.0
582,26476876.0
583,9726643.0
584,2569006.0
585,949315.0
586,25282660.0
587,29095971.0
588,4338170.0
589,3020537.0
590,10954635.0
591,5110122.0
592,6021311.0
593,3078797.0
594,2350360.0
595,1366893.0
596,8057991.0
597,4220326.0
598,256495.0
599,101286.0
600,5630134.0
601,3948381.0
602,12566798.0
603,5209902.0
604,20656491.0
605,16686269.0
606,1021310.0
607,854990.0
608,31190587.0
609,23850042.0
610,60794.0
611,25368.0
612,17948359.0
613,12174951.0
614,814788.0
615,402826.0
616,7258748.0
617,4091768.0
618,6370459.0
619,2935332.0
620,2798190.0
621,1166996.0
622,127703.0
623,184329.0
624,38450156.0
625,34950275.0
626,5923276.0
627,5008157.0
628,2631776.0
629,2024839.0
630,579000.0
631,293813.0
632,8928517.0
633,7596820.0
634,1653236.0
635,399723.0
636,5042775.0
637,2459431.0
638,4871191.0
639,3044640.0
640,1257232.0
641,579926.0
642,360707.0
643,157515.0
644,2765289.0
645,2714737.0
646,3473383.0
647,1315417.0
648,2238344.0
649,1024880.0
650,2222883.0
651,1610978.0
652,3810829.0
653,2115927.0
654,2345622.0
655,1450813.0
656,22593776.0
657,22426075.0
658,42005467.0
659,36173691.0
660,8494653.0
661,4605748.0
662,502872.0
663,280908.0
664,246204.0
665,74274.0
666,319584.0
667,195192.0
668,1958855.0
669,2025798.0
670,1383029.0
671,645215.0
672,650083.0
673,274462.0
674,2530984.0
675,1033315.0
676,117213.0
677,131444.0
678,4273.0
679,2052.0
680,1422837.0
681,1500321.0
682,2353133.0
683,1433840.0
684,1125300.0
685,456745.0
686,368415.0
687,109819.0
688,2052255.0
689,858592.0
690,70680.0
691,41183.0
692,1291207.0
693,802129.0
694,72316.0
695,52793.0
696,69402.0
697,35469.0
698,4451.0
699,9000.0
700,776820.0
701,724821.0
702,131774.0
703,114962.0
704,2861915.0
705,622483.0
706,183994.0
707,104201.0
708,2482118.0
709,1454416.0
710,1633332.0
711,492969.0
712,938502.0
713,837778.0
714,18298004.0
715,15190754.0
716,97821.0
717,17603.0
718,1514163.0
719,780561.0
720,997412.0
721,985222.0
722,10467556.0
723,5672581.0
724,8694830.0
725,2435734.0
726,4763066.0
727,2352985.0
728,2465777.0
729,1858456.0
730,88539.0
731,34807.0
732,658753.0
733,128715.0
734,275466.0
735,80818.0
736,324942.0
737,82046.0
738,5279141.0
739,2913223.0
740,386001.0
741,102632.0
742,300187.0
743,2458367.0
744,1436588.0
745,1232256.0
746,1301742.0
747,704209.0
748,407923.0
749,339630.0
750,2149349.0
751,1150385.0
752,4112682.0
753,3506513.0
754,1769025.0
755,612006.0
756,791180.0
757,267102.0
758,237443.0
759,232286.0
760,567714.0
761,315197.0
762,1405536.0
763,1795721.0
764,348703.0
765,223617.0
766,127768.0
767,107809.0
768,336609.0
769,131855.0
770,1254900.0
771,597374.0
772,12874719.0
773,4651185.0
774,2156401.0
775,590310.0
776,7120667.0
777,3290697.0
778,79459.0
779,63702.0
780,2205048.0
781,2066160.0
782,560592.0
783,116499.0
784,2357947.0
785,1297169.0
786,112028.0
787,28114.0
788,757349.0
789,293827.0
790,15161182.0
791,8087054.0
792,3343380.0
793,761560.0
794,3092158.0
795,1803533.0
796,381116.0
797,194809.0
798,676285.0
799,157555.0
800,277908.0
801,204965.0
802,2122420.0
803,932174.0
804,811533.0
805,267678.0
806,7011222.0
807,8512032.0
808,2871486.0
809,5415575.0
810,2526762.0
811,1406257.0
812,685611.0
813,377867.0
814,585081.0
815,142284.0
816,1191466.0
817,360236.0
818,939966.0
819,275983.0
820,1656417.0
821,1019585.0
822,240799.0
823,114906.0
824,416860.0
825,62000.0
826,1761712.0
827,1184355.0
828,1064994.0
829,314893.0
830,738325.0
831,341891.0
832,1638365.0
833,1481762.0
834,5983775.0
835,2210911.0
836,8808319.0
837,5411360.0
838,780774.0
839,282865.0
840,152939.0
841,60590.0
842,3304225.0
843,1449670.0
844,935733.0
845,397680.0
846,699535.0
847,509758.0
848,1719219.0
849,991113.0
850,27455735.0
851,12938845.0
852,3732186.0
853,2862568.0
854,10281898.0
855,8155537.0
856,2014707.0
857,933537.0
858,253921.0
859,85578.0
860,42972993.0
861,24387794.0
862,28568899.0
863,10594424.0
864,507685.0
865,294664.0
866,338065.0
867,197736.0
868,712744.0
869,685184.0
870,664806.0
